Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FBS),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FBS","Food Balances (2010-)","013","Central America","661","Food supply (kcal)","S2901","Grand Total","2022","2022","Kcal","207386918.92","E","Estimated value",""
"FBS","Food Balances (2010-)","013","Central America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2022","2022","g/cap/d","93.75","E","Estimated value",""
"FBS","Food Balances (2010-)","013","Central America","671","Protein supply quantity (t)","S2901","Grand Total","2022","2022","t","6127430.94","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2010","2010","kcal/cap/d","3040","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","661","Food supply (kcal)","S2901","Grand Total","2010","2010","Kcal","435844427.3","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2010","2010","g/cap/d","90.9","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","671","Protein supply quantity (t)","S2901","Grand Total","2010","2010","t","13033773.39","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2011","2011","kcal/cap/d","3063","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","661","Food supply (kcal)","S2901","Grand Total","2011","2011","Kcal","443675263.33","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2011","2011","g/cap/d","92.06","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","671","Protein supply quantity (t)","S2901","Grand Total","2011","2011","t","13336705.72","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2012","2012","kcal/cap/d","3051","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","661","Food supply (kcal)","S2901","Grand Total","2012","2012","Kcal","446412144.98","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2012","2012","g/cap/d","91.66","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","671","Protein supply quantity (t)","S2901","Grand Total","2012","2012","t","13413673.55","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2013","2013","kcal/cap/d","3068","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","661","Food supply (kcal)","S2901","Grand Total","2013","2013","Kcal","453388760.54","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2013","2013","g/cap/d","93.15","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","671","Protein supply quantity (t)","S2901","Grand Total","2013","2013","t","13765795.21","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2014","2014","kcal/cap/d","3103","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","661","Food supply (kcal)","S2901","Grand Total","2014","2014","Kcal","463156864.6","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2014","2014","g/cap/d","94.25","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","671","Protein supply quantity (t)","S2901","Grand Total","2014","2014","t","14066278.15","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2015","2015","kcal/cap/d","3072","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","661","Food supply (kcal)","S2901","Grand Total","2015","2015","Kcal","462886502.23","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2015","2015","g/cap/d","93.46","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","671","Protein supply quantity (t)","S2901","Grand Total","2015","2015","t","14084445.78","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2016","2016","kcal/cap/d","3027","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","661","Food supply (kcal)","S2901","Grand Total","2016","2016","Kcal","460493266.91","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","674","Protein supply quantity (g/capita/day)","S2901","Grand Total","2016","2016","g/cap/d","92.18","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","671","Protein supply quantity (t)","S2901","Grand Total","2016","2016","t","14025077.14","E","Estimated value",""
"FBS","Food Balances (2010-)","005","South America","664","Food supply (kcal/capita/day)","S2901","Grand Total","2017","2017","kcal/cap/d","3039","E","Estimated value",""
