Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","301858.117","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","373956.671","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","185394.358","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","188562.314","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","64397.379","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","304761.178","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","375278.947","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","512","Total Population - Male","3010","Population - Est. & Proj.","2021","2021","1000 No","185965.129","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","513","Total Population - Female","3010","Population - Est. & Proj.","2021","2021","1000 No","189313.816","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","64133.908","X","Figure from international organizations",""
"OA","Annual population","021","Northern America","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","307697.259","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","156064.198","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","76676.879","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","79387.32","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","44851.238","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","115705.357","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","158384.478","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","77819.845","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","80564.637","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","44986.303","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","118042.061","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","160696.992","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 No","78961.546","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 No","81735.446","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 No","45101.039","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 No","120366.085","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","162936.805","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 No","80063.781","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 No","82873.021","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 No","45195.523","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 No","122680.013","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","165101.091","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2014","2014","1000 No","81126.695","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2014","2014","1000 No","83974.396","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2014","2014","1000 No","45271.43","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2014","2014","1000 No","124991.386","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2015","2015","1000 No","167187.385","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2015","2015","1000 No","82147.862","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2015","2015","1000 No","85039.522","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2015","2015","1000 No","45330.806","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2015","2015","1000 No","127304.303","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2016","2016","1000 No","169249.622","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2016","2016","1000 No","83154.264","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2016","2016","1000 No","86095.358","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2016","2016","1000 No","45373.886","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2016","2016","1000 No","129614.87","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2017","2017","1000 No","171256.607","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2017","2017","1000 No","84129.537","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2017","2017","1000 No","87127.069","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2017","2017","1000 No","45398.572","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2017","2017","1000 No","131917.745","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2018","2018","1000 No","173093.517","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2018","2018","1000 No","85014.031","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2018","2018","1000 No","88079.486","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2018","2018","1000 No","45404.518","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2018","2018","1000 No","134211.645","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2019","2019","1000 No","174800.778","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2019","2019","1000 No","85829.299","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2019","2019","1000 No","88971.476","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2019","2019","1000 No","45391.56","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2019","2019","1000 No","136495.379","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2020","2020","1000 No","176343.831","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2020","2020","1000 No","86537.789","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2020","2020","1000 No","89806.042","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2020","2020","1000 No","45359.568","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2020","2020","1000 No","138767.686","X","Figure from international organizations",""
"OA","Annual population","013","Central America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2021","2021","1000 No","177661.928","X","Figure from international organizations",""
"OA","Annual population","013","Central America","512","Total Population - Male","3010","Population - Est. & Proj.","2021","2021","1000 No","87102.627","X","Figure from international organizations",""
"OA","Annual population","013","Central America","513","Total Population - Female","3010","Population - Est. & Proj.","2021","2021","1000 No","90559.303","X","Figure from international organizations",""
"OA","Annual population","013","Central America","551","Rural population","3010","Population - Est. & Proj.","2021","2021","1000 No","45308.453","X","Figure from international organizations",""
"OA","Annual population","013","Central America","561","Urban population","3010","Population - Est. & Proj.","2021","2021","1000 No","141026.955","X","Figure from international organizations",""
"OA","Annual population","005","South America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2010","2010","1000 No","393078.25","X","Figure from international organizations",""
"OA","Annual population","005","South America","512","Total Population - Male","3010","Population - Est. & Proj.","2010","2010","1000 No","194521.639","X","Figure from international organizations",""
"OA","Annual population","005","South America","513","Total Population - Female","3010","Population - Est. & Proj.","2010","2010","1000 No","198556.613","X","Figure from international organizations",""
"OA","Annual population","005","South America","551","Rural population","3010","Population - Est. & Proj.","2010","2010","1000 No","69682.983","X","Figure from international organizations",""
"OA","Annual population","005","South America","561","Urban population","3010","Population - Est. & Proj.","2010","2010","1000 No","325597.221","X","Figure from international organizations",""
"OA","Annual population","005","South America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2011","2011","1000 No","397135.127","X","Figure from international organizations",""
"OA","Annual population","005","South America","512","Total Population - Male","3010","Population - Est. & Proj.","2011","2011","1000 No","196466.311","X","Figure from international organizations",""
"OA","Annual population","005","South America","513","Total Population - Female","3010","Population - Est. & Proj.","2011","2011","1000 No","200668.814","X","Figure from international organizations",""
"OA","Annual population","005","South America","551","Rural population","3010","Population - Est. & Proj.","2011","2011","1000 No","69488.168","X","Figure from international organizations",""
"OA","Annual population","005","South America","561","Urban population","3010","Population - Est. & Proj.","2011","2011","1000 No","330097.986","X","Figure from international organizations",""
"OA","Annual population","005","South America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2012","2012","1000 No","401166.824","X","Figure from international organizations",""
"OA","Annual population","005","South America","512","Total Population - Male","3010","Population - Est. & Proj.","2012","2012","1000 No","198400.681","X","Figure from international organizations",""
"OA","Annual population","005","South America","513","Total Population - Female","3010","Population - Est. & Proj.","2012","2012","1000 No","202766.141","X","Figure from international organizations",""
"OA","Annual population","005","South America","551","Rural population","3010","Population - Est. & Proj.","2012","2012","1000 No","69293.103","X","Figure from international organizations",""
"OA","Annual population","005","South America","561","Urban population","3010","Population - Est. & Proj.","2012","2012","1000 No","334583.041","X","Figure from international organizations",""
"OA","Annual population","005","South America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2013","2013","1000 No","405147.888","X","Figure from international organizations",""
"OA","Annual population","005","South America","512","Total Population - Male","3010","Population - Est. & Proj.","2013","2013","1000 No","200311.961","X","Figure from international organizations",""
"OA","Annual population","005","South America","513","Total Population - Female","3010","Population - Est. & Proj.","2013","2013","1000 No","204835.927","X","Figure from international organizations",""
"OA","Annual population","005","South America","551","Rural population","3010","Population - Est. & Proj.","2013","2013","1000 No","69098.625","X","Figure from international organizations",""
"OA","Annual population","005","South America","561","Urban population","3010","Population - Est. & Proj.","2013","2013","1000 No","339033.009","X","Figure from international organizations",""
"OA","Annual population","005","South America","511","Total Population - Both sexes","3010","Population - Est. & Proj.","2014","2014","1000 No","409128.833","X","Figure from international organizations",""
